Date,Firm,Strategist,Stock Allocation %
1998-06-26,Lehman,Jeffrey Applegate,75.0
1998-06-26,Merrill Lynch,Charles Clough,40.0
1998-06-26,Morgan Stanley,Peter Canelo,75.0
1998-06-26,PaineWebber,Ed Kerschner,58.0
1998-06-26,Prudential,Greg Smith,65.0
1998-06-26,Salomon SB,Committee,60.0
1998-06-26,UBS,Gail Dudack,45.0
1998-06-26,Wheat First,Don Hays,53.0
1998-07-02,A.G. Edwards,Ray Worseck,60.0
1998-07-02,Bear Stearns,Liz Mackay,55.0
1998-07-02,Credit Suisse,Christine Callies,60.0
1998-07-02,DLJ,Thomas Galvin,65.0
1998-07-02,Goldman Sachs,Abby Joseph Cohen,65.0
1998-07-02,JPMorgan,Douglas Cliggott,50.0
1998-07-02,Lehman,Jeffrey Applegate,75.0
1998-07-02,Merrill Lynch,Charles Clough,40.0
1998-07-02,Morgan Stanley,Peter Canelo,75.0
1998-07-02,PaineWebber,Ed Kerschner,58.0
1998-07-02,Prudential,Greg Smith,65.0
1998-07-02,Salomon SB,Committee,60.0
1998-07-02,UBS,Gail Dudack,45.0
1998-07-02,Wheat First,Don Hays,53.0
1998-07-10,A.G. Edwards,Ray Worseck,60.0
1998-07-10,Bear Stearns,Liz Mackay,55.0
1998-07-10,Credit Suisse,Christine Callies,60.0
1998-07-10,DLJ,Thomas Galvin,65.0
1998-07-10,Goldman Sachs,Abby Joseph Cohen,65.0
1998-07-10,JPMorgan,Douglas Cliggott,50.0
1998-07-10,Lehman,Jeffrey Applegate,75.0
1998-07-10,Merrill Lynch,Charles Clough,40.0
1998-07-10,Morgan Stanley,Peter Canelo,75.0
1998-07-10,PaineWebber,Ed Kerschner,58.0
1998-07-10,Prudential,Greg Smith,65.0
1998-07-10,Salomon SB,Committee,60.0
1998-07-10,UBS,Gail Dudack,45.0
1998-07-10,Wheat First,Don Hays,53.0
1998-07-17,A.G. Edwards,Ray Worseck,60.0
1998-07-17,Bear Stearns,Liz Mackay,55.0
1998-07-17,Credit Suisse,Christine Callies,60.0
1998-07-17,DLJ,Thomas Galvin,65.0
1998-07-17,Goldman Sachs,Abby Joseph Cohen,65.0
1998-07-17,JPMorgan,Douglas Cliggott,50.0
1998-07-17,Lehman,Jeffrey Applegate,75.0
1998-07-17,Merrill Lynch,Charles Clough,40.0
1998-07-17,Morgan Stanley,Peter Canelo,75.0
1998-07-17,PaineWebber,Ed Kerschner,56.0
1998-07-17,Prudential,Greg Smith,65.0
1998-07-17,Salomon SB,Committee,60.0
1998-07-17,UBS,Gail Dudack,45.0
1998-07-17,Wheat First,Don Hays,53.0
1998-07-24,A.G. Edwards,Ray Worseck,60.0
1998-07-24,Bear Stearns,Liz Mackay,55.0
1998-07-24,Credit Suisse,Christine Callies,60.0
1998-07-24,DLJ,Thomas Galvin,65.0
1998-07-24,Goldman Sachs,Abby Joseph Cohen,65.0
1998-07-24,JPMorgan,Douglas Cliggott,50.0
1998-07-24,Lehman,Jeffrey Applegate,80.0
1998-07-24,Merrill Lynch,Charles Clough,40.0
1998-07-24,Morgan Stanley,Peter Canelo,75.0
1998-07-24,PaineWebber,Ed Kerschner,58.0
1998-07-24,Prudential,Greg Smith,50.0
1998-07-24,Salomon SB,Committee,60.0
1998-07-24,UBS,Gail Dudack,45.0
1998-07-24,Wheat First,Don Hays,53.0
1998-07-31,A.G. Edwards,Ray Worseck,60.0
1998-07-31,Bear Stearns,Liz Mackay,55.0
1998-07-31,Credit Suisse,Christine Callies,60.0
1998-07-31,DLJ,Thomas Galvin,65.0
1998-07-31,Goldman Sachs,Abby Joseph Cohen,65.0
1998-07-31,JPMorgan,Douglas Cliggott,50.0
1998-07-31,Lehman,Jeffrey Applegate,80.0
1998-07-31,Merrill Lynch,Charles Clough,40.0
1998-07-31,Morgan Stanley,Peter Canelo,75.0
1998-07-31,PaineWebber,Ed Kerschner,57.0
1998-07-31,Prudential,Greg Smith,50.0
1998-07-31,Salomon SB,Committee,60.0
1998-07-31,UBS,Gail Dudack,45.0
1998-07-31,Wheat First,Don Hays,53.0
1998-08-07,A.G. Edwards,Ray Worseck,55.0
1998-08-07,Bear Stearns,Liz Mackay,55.0
1998-08-07,Credit Suisse,Christine Callies,60.0
1998-08-07,DLJ,Thomas Galvin,75.0
1998-08-07,Goldman Sachs,Abby Joseph Cohen,65.0
1998-08-07,JPMorgan,Douglas Cliggott,50.0
1998-08-07,Lehman,Jeffrey Applegate,80.0
1998-08-07,Merrill Lynch,Charles Clough,40.0
1998-08-07,Morgan Stanley,Peter Canelo,75.0
1998-08-07,PaineWebber,Ed Kerschner,59.0
1998-08-07,Prudential,Greg Smith,50.0
1998-08-07,Salomon SB,Committee,60.0
1998-08-07,UBS,Gail Dudack,45.0
1998-08-07,Wheat First,Don Hays,53.0
1998-08-14,A.G. Edwards,Ray Worseck,55.0
1998-08-14,Bear Stearns,Liz Mackay,55.0
1998-08-14,Credit Suisse,Christine Callies,60.0
1998-08-14,DLJ,Thomas Galvin,75.0
1998-08-14,Goldman Sachs,Abby Joseph Cohen,65.0
1998-08-14,JPMorgan,Douglas Cliggott,50.0
1998-08-14,Lehman,Jeffrey Applegate,80.0
1998-08-14,Merrill Lynch,Charles Clough,40.0
1998-08-14,Morgan Stanley,Peter Canelo,75.0
1998-08-14,PaineWebber,Ed Kerschner,60.0
1998-08-14,Prudential,Greg Smith,50.0
1998-08-14,Salomon SB,Committee,60.0
1998-08-14,UBS,Gail Dudack,45.0
1998-08-14,Wheat First,Don Hays,50.0
1998-08-21,A.G. Edwards,Ray Worseck,55.0
1998-08-21,Bear Stearns,Liz Mackay,55.0
1998-08-21,Credit Suisse,Christine Callies,60.0
1998-08-21,DLJ,Thomas Galvin,75.0
1998-08-21,Goldman Sachs,Abby Joseph Cohen,65.0
1998-08-21,JPMorgan,Douglas Cliggott,50.0
1998-08-21,Lehman,Jeffrey Applegate,80.0
1998-08-21,Merrill Lynch,Charles Clough,40.0
1998-08-21,Morgan Stanley,Peter Canelo,75.0
1998-08-21,PaineWebber,Ed Kerschner,60.0
1998-08-21,Prudential,Greg Smith,50.0
1998-08-21,Salomon SB,Committee,60.0
1998-08-21,UBS,Gail Dudack,45.0
1998-08-21,Wheat First,Don Hays,50.0
1998-08-24,A.G. Edwards,Ray Worseck,55.0
1998-08-24,Bear Stearns,Liz Mackay,55.0
1998-08-24,Credit Suisse,Christine Callies,60.0
1998-08-24,DLJ,Thomas Galvin,75.0
1998-08-24,Goldman Sachs,Abby Joseph Cohen,65.0
1998-08-24,JPMorgan,Douglas Cliggott,50.0
1998-08-24,Lehman,Jeffrey Applegate,80.0
1998-08-24,Merrill Lynch,Charles Clough,40.0
1998-08-24,Morgan Stanley,Peter Canelo,75.0
1998-08-24,PaineWebber,Ed Kerschner,60.0
1998-08-24,Prudential,Greg Smith,50.0
1998-08-24,Salomon SB,Committee,60.0
1998-08-24,UBS,Gail Dudack,45.0
1998-08-24,Wheat First,Don Hays,50.0
1998-09-01,A.G. Edwards,Ray Worseck,60.0
1998-09-01,Bear Stearns,Liz Mackay,60.0
1998-09-01,Credit Suisse,Christine Callies,60.0
1998-09-01,DLJ,Thomas Galvin,75.0
1998-09-01,Goldman Sachs,Abby Joseph Cohen,72.0
1998-09-01,JPMorgan,Douglas Cliggott,60.0
1998-09-01,Lehman,Jeffrey Applegate,80.0
1998-09-01,Merrill Lynch,Charles Clough,40.0
1998-09-01,Morgan Stanley,Peter Canelo,70.0
1998-09-01,PaineWebber,Ed Kerschner,63.0
1998-09-01,Prudential,Greg Smith,55.0
1998-09-01,Salomon SB,Committee,60.0
1998-09-01,UBS,Gail Dudack,45.0
1998-09-01,Wheat First,Don Hays,50.0
1998-09-04,A.G. Edwards,Ray Worseck,60.0
1998-09-04,Bear Stearns,Liz Mackay,60.0
1998-09-04,Credit Suisse,Christine Callies,60.0
1998-09-04,DLJ,Thomas Galvin,75.0
1998-09-04,Goldman Sachs,Abby Joseph Cohen,72.0
1998-09-04,JPMorgan,Douglas Cliggott,60.0
1998-09-04,Lehman,Jeffrey Applegate,80.0
1998-09-04,Merrill Lynch,Charles Clough,40.0
1998-09-04,Morgan Stanley,Peter Canelo,70.0
1998-09-04,PaineWebber,Ed Kerschner,65.0
1998-09-04,Prudential,Greg Smith,55.0
1998-09-04,Salomon SB,Committee,55.0
1998-09-04,UBS,Gail Dudack,45.0
1998-09-04,Wheat First,Don Hays,50.0
1998-09-11,A.G. Edwards,Ray Worseck,60.0
1998-09-11,Bear Stearns,Liz Mackay,60.0
1998-09-11,Credit Suisse,Christine Callies,60.0
1998-09-11,DLJ,Thomas Galvin,75.0
1998-09-11,Goldman Sachs,Abby Joseph Cohen,72.0
1998-09-11,JPMorgan,Douglas Cliggott,60.0
1998-09-11,Lehman,Jeffrey Applegate,80.0
1998-09-11,Merrill Lynch,Charles Clough,40.0
1998-09-11,Morgan Stanley,Peter Canelo,70.0
1998-09-11,PaineWebber,Ed Kerschner,67.0
1998-09-11,Prudential,Greg Smith,55.0
1998-09-11,Salomon SB,Committee,55.0
1998-09-11,UBS,Gail Dudack,45.0
1998-09-11,Wheat First,Don Hays,70.0
1998-09-18,A.G. Edwards,Ray Worseck,60.0
1998-09-18,Bear Stearns,Liz Mackay,60.0
1998-09-18,Credit Suisse,Christine Callies,60.0
1998-09-18,DLJ,Thomas Galvin,75.0
1998-09-18,Goldman Sachs,Abby Joseph Cohen,72.0
1998-09-18,JPMorgan,Douglas Cliggott,60.0
1998-09-18,Lehman,Jeffrey Applegate,80.0
1998-09-18,Merrill Lynch,Charles Clough,40.0
1998-09-18,Morgan Stanley,Peter Canelo,70.0
1998-09-18,PaineWebber,Ed Kerschner,67.0
1998-09-18,Prudential,Greg Smith,60.0
1998-09-18,Salomon SB,Committee,55.0
1998-09-18,UBS,Gail Dudack,45.0
1998-09-18,Wheat First,Don Hays,70.0
1998-09-25,A.G. Edwards,Ray Worseck,60.0
1998-09-25,Bear Stearns,Liz Mackay,60.0
1998-09-25,Credit Suisse,Christine Callies,60.0
1998-09-25,DLJ,Thomas Galvin,75.0
1998-09-25,Goldman Sachs,Abby Joseph Cohen,72.0
1998-09-25,JPMorgan,Douglas Cliggott,60.0
1998-09-25,Lehman,Jeffrey Applegate,80.0
1998-09-25,Merrill Lynch,Charles Clough,40.0
1998-09-25,Morgan Stanley,Peter Canelo,70.0
1998-09-25,PaineWebber,Ed Kerschner,68.0
1998-09-25,Prudential,Greg Smith,60.0
1998-09-25,Salomon SB,Committee,55.0
1998-09-25,UBS,Gail Dudack,45.0
1998-09-25,Wheat First,Don Hays,70.0
