Date,Firm,Strategist,Stock Allocation %,2002 Close
2002-04-26,CIBC,Subodh Kumar,75.0,1450.0
2002-04-26,CSFB,Thomas Galvin,70.0,1375.0
2002-04-26,Deutsche Bank,,,
2002-04-26,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-04-26,JPMorgan,,50.0,950.0
2002-04-26,Lehman,Jeffrey Applegate,80.0,1350.0
2002-04-26,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-04-26,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-04-26,Prudential,Ed Yardeni,70.0,1250.0
2002-04-26,Salomon SB,Committee,75.0,1325.0
2002-04-26,UBS,Ed Kerschner,77.0,1360.0
2002-04-26,Wachovia,Rod Smyth,85.0,1300.0
2002-05-03,Bank of America,Thomas McManus,50.0,1200.0
2002-05-03,Bear Stearns,,,
2002-05-03,CIBC,Subodh Kumar,75.0,1375.0
2002-05-03,CSFB,Thomas Galvin,70.0,1375.0
2002-05-03,Deutsche Bank,,,
2002-05-03,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-05-03,JPMorgan,,50.0,950.0
2002-05-03,Lehman,Jeffrey Applegate,80.0,1350.0
2002-05-03,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-05-03,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-05-03,Prudential,Ed Yardeni,70.0,1250.0
2002-05-03,Salomon SB,Committee,75.0,1325.0
2002-05-03,UBS,Ed Kerschner,77.0,1360.0
2002-05-03,Wachovia,Rod Smyth,85.0,1300.0
2002-05-10,Bank of America,Thomas McManus,50.0,1200.0
2002-05-10,Bear Stearns,,,
2002-05-10,CIBC,Subodh Kumar,75.0,1375.0
2002-05-10,CSFB,Thomas Galvin,70.0,1375.0
2002-05-10,Deutsche Bank,,,
2002-05-10,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-05-10,JPMorgan,,50.0,950.0
2002-05-10,Lehman,Jeffrey Applegate,80.0,1200.0
2002-05-10,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-05-10,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-05-10,Prudential,Ed Yardeni,70.0,1250.0
2002-05-10,Salomon SB,Committee,75.0,1325.0
2002-05-10,UBS,Ed Kerschner,77.0,1360.0
2002-05-10,Wachovia,Rod Smyth,85.0,1300.0
2002-05-17,Bank of America,Thomas McManus,50.0,1150.0
2002-05-17,Bear Stearns,,,
2002-05-17,CIBC,Subodh Kumar,75.0,1375.0
2002-05-17,CSFB,Thomas Galvin,70.0,1375.0
2002-05-17,Deutsche Bank,,,
2002-05-17,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-05-17,JPMorgan,,50.0,950.0
2002-05-17,Lehman,Jeffrey Applegate,80.0,1200.0
2002-05-17,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-05-17,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-05-17,Prudential,Ed Yardeni,70.0,1250.0
2002-05-17,Salomon SB,Committee,75.0,1325.0
2002-05-17,UBS,Ed Kerschner,77.0,1360.0
