,Author,Date,Firm,Strategist,Stock Allocation %,2009 Close,2009 EPS,2010 Close,2010 EPS,Reweighted Allocation
81,Lynn Thomasson,2009-02-13,Credit Suisse,Andrew Garthwaite,,1050.0,58.0,,,
82,Lynn Thomasson,2009-02-13,Deutsche Bank,Binky Chadha,60.0,1140.0,64.5,,,60.0
83,Lynn Thomasson,2009-02-13,Goldman Sachs,David Kostin,,1100.0,53.0,,,
84,Lynn Thomasson,2009-02-13,HSBC,Kevin Gardiner,43.1,1000.0,,,,43.0
85,Lynn Thomasson,2009-02-13,JPMorgan,Thomas Lee,60.0,1100.0,65.0,,,60.0
86,Lynn Thomasson,2009-02-13,Morgan Stanley,,,,,,,
87,Lynn Thomasson,2009-02-13,RBC,Myles Zyblock,55.0,1050.0,63.0,,,55.0
88,Lynn Thomasson,2009-02-13,UBS,David Bianco,51.5,1300.0,63.0,,,56.0
89,Lynn Thomasson,2009-02-18,Bank of America,Richard Bernstein,50.0,975.0,42.0,,,50.0
90,Lynn Thomasson,2009-02-18,Barclays,Barry Knapp,,874.0,46.0,,,
91,Lynn Thomasson,2009-02-18,Citigroup,Tobias Levkovich,,1000.0,62.0,,,
92,Lynn Thomasson,2009-02-18,Credit Suisse,Andrew Garthwaite,,1050.0,58.0,,,
93,Lynn Thomasson,2009-02-18,Deutsche Bank,Binky Chadha,60.0,1140.0,64.5,,,60.0
94,Lynn Thomasson,2009-02-18,Goldman Sachs,David Kostin,,1100.0,53.0,,,
95,Lynn Thomasson,2009-02-18,HSBC,Kevin Gardiner,43.1,1000.0,,,,43.0
96,Lynn Thomasson,2009-02-18,JPMorgan,Thomas Lee,60.0,1100.0,65.0,,,60.0
97,Lynn Thomasson,2009-02-18,Morgan Stanley,,,,,,,
98,Lynn Thomasson,2009-02-18,RBC,Myles Zyblock,55.0,1050.0,63.0,,,55.0
99,Lynn Thomasson,2009-02-18,UBS,David Bianco,51.5,1300.0,63.0,,,56.0
100,Lynn Thomasson,2009-02-23,Bank of America,Richard Bernstein,50.0,975.0,42.0,,,50.0
101,Lynn Thomasson,2009-02-23,Barclays,Barry Knapp,,874.0,46.0,,,
102,Lynn Thomasson,2009-02-23,Citigroup,Tobias Levkovich,,1000.0,62.0,,,
103,Lynn Thomasson,2009-02-23,Credit Suisse,Andrew Garthwaite,,1050.0,58.0,,,
104,Lynn Thomasson,2009-02-23,Deutsche Bank,Binky Chadha,60.0,1140.0,64.5,,,60.0
105,Lynn Thomasson,2009-02-23,Goldman Sachs,David Kostin,,1100.0,53.0,,,
106,Lynn Thomasson,2009-02-23,HSBC,Kevin Gardiner,43.1,1000.0,,,,43.0
107,Lynn Thomasson,2009-02-23,JPMorgan,Thomas Lee,60.0,1100.0,65.0,,,60.0
108,Lynn Thomasson,2009-02-23,Morgan Stanley,,,,,,,
109,Lynn Thomasson,2009-02-23,RBC,Myles Zyblock,55.0,1050.0,63.0,,,55.0
110,Lynn Thomasson,2009-02-23,UBS,David Bianco,51.5,1300.0,63.0,,,56.0
111,Lynn Thomasson,2009-02-26,Bank of America,Richard Bernstein,50.0,975.0,42.0,,,50.0
112,Lynn Thomasson,2009-02-26,Barclays,Barry Knapp,,874.0,46.0,,,
113,Lynn Thomasson,2009-02-26,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
114,Lynn Thomasson,2009-02-26,Credit Suisse,Andrew Garthwaite,,1050.0,58.0,,,
115,Lynn Thomasson,2009-02-26,Deutsche Bank,Binky Chadha,60.0,1140.0,64.5,,,60.0
116,Lynn Thomasson,2009-02-26,Goldman Sachs,David Kostin,,940.0,40.0,,,
117,Lynn Thomasson,2009-02-26,HSBC,Kevin Gardiner,43.1,1000.0,,,,43.0
118,Lynn Thomasson,2009-02-26,JPMorgan,Thomas Lee,60.0,1100.0,65.0,,,60.0
119,Lynn Thomasson,2009-02-26,Morgan Stanley,,,,,,,
120,Lynn Thomasson,2009-02-26,RBC,Myles Zyblock,55.0,1050.0,63.0,,,55.0
121,Lynn Thomasson,2009-02-26,UBS,David Bianco,51.5,1300.0,63.0,,,56.0
132,Lynn Thomasson,2009-02-26,UBS,David Bianco,51.5,1100.0,51.0,,,56.0
133,Lynn Thomasson,2009-03-10,Bank of America,Richard Bernstein,50.0,975.0,42.0,,,50.0
134,Lynn Thomasson,2009-03-10,Barclays,Barry Knapp,,760.0,46.0,,,
135,Lynn Thomasson,2009-03-10,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
136,Lynn Thomasson,2009-03-10,Credit Suisse,Andrew Garthwaite,61.0,920.0,58.0,,,61.0
137,Lynn Thomasson,2009-03-10,Deutsche Bank,Binky Chadha,60.0,1140.0,64.5,,,60.0
138,Lynn Thomasson,2009-03-10,Goldman Sachs,David Kostin,,940.0,40.0,,,
139,Lynn Thomasson,2009-03-10,HSBC,Kevin Gardiner,28.0,1000.0,,,,28.0
140,Lynn Thomasson,2009-03-10,JPMorgan,Thomas Lee,60.0,1100.0,65.0,,,60.0
141,Lynn Thomasson,2009-03-10,Morgan Stanley,,,975.0,53.0,,,
142,Lynn Thomasson,2009-03-10,RBC,Myles Zyblock,50.0,1050.0,55.0,,,50.0
143,Lynn Thomasson,2009-03-10,UBS,David Bianco,51.5,1100.0,51.0,,,57.0
144,Lynn Thomasson,2009-03-13,Bank of America,Richard Bernstein,,975.0,42.0,,,
145,Lynn Thomasson,2009-03-13,Barclays,Barry Knapp,,760.0,46.0,,,
146,Lynn Thomasson,2009-03-13,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
147,Lynn Thomasson,2009-03-13,Credit Suisse,Andrew Garthwaite,,920.0,58.0,,,
148,Lynn Thomasson,2009-03-13,Deutsche Bank,Binky Chadha,,1140.0,64.5,,,
159,Lynn Thomasson,2009-03-13,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
149,Lynn Thomasson,2009-03-13,Goldman Sachs,David Kostin,,940.0,40.0,,,
150,Lynn Thomasson,2009-03-13,HSBC,Kevin Gardiner,,1000.0,,,,
151,Lynn Thomasson,2009-03-13,JPMorgan,Thomas Lee,,1100.0,65.0,,,
